transactionNumber,amount,description,category,date
1,120,Lunch at restaurant,Food & Dining,2025-05-01T04:07:35.496Z
2,45,Taxi ride to work,Transportation,2025-05-02T04:07:35.496Z
3,220,Electricity bill payment,Bills & Utilities,2025-05-03T04:07:35.496Z
4,150,Gym membership fee,Health,2025-05-04T04:07:35.496Z
5,60,Shopping for clothes,Shopping,2025-05-05T04:07:35.496Z
6,80,Movie ticket and snacks,Entertainment,2025-05-06T04:07:35.496Z
7,150,Online course fee,Education,2025-05-07T04:07:35.496Z
8,30,Haircut,Personal Care,2025-05-08T04:07:35.496Z
9,50,Breakfast at cafe,Food & Dining,2025-05-08T04:07:35.496Z
10,200,Car service,Transportation,2025-05-08T04:07:35.496Z
11,180,Internet bill payment,Bills & Utilities,2025-05-09T04:07:35.496Z
12,90,Yoga class subscription,Health,2025-05-10T04:07:35.496Z
13,50,Groceries for the week,Shopping,2025-05-11T04:07:35.496Z
14,120,Concert tickets,Entertainment,2025-05-12T04:07:35.496Z
15,70,E-learning platform subscription,Education,2025-05-13T04:07:35.496Z
16,55,Manicure and pedicure,Personal Care,2025-05-13T04:07:35.496Z
17,200,Lunch at a business meeting,Food & Dining,2025-05-14T04:07:35.496Z
18,100,Bike repair,Transportation,2025-05-14T04:07:35.496Z
19,300,Water bill payment,Bills & Utilities,2025-05-14T04:07:35.496Z
20,110,Doctor's consultation,Health,2025-05-14T04:07:35.496Z
