transactionNumber,amount,description,category,date
1,120,Lunch at restaurant,Food & Dining,2025-05-01T12:30:00.000Z
2,45,Taxi ride to work,Transportation,2025-05-02T08:15:00.000Z
3,220,Electricity bill payment,Bills & Utilities,2025-05-03T14:00:00.000Z
4,150,Gym membership fee,Health,2025-05-04T10:00:00.000Z
5,60,Shopping for clothes,Shopping,2025-05-05T16:30:00.000Z
6,80,Movie ticket and snacks,Entertainment,2025-05-06T18:00:00.000Z
7,150,Online course fee,Education,2025-05-07T09:00:00.000Z
8,30,Haircut,Personal Care,2025-05-08T15:30:00.000Z
9,50,Breakfast at cafe,Food & Dining,2025-05-09T07:00:00.000Z
10,200,Car service,Transportation,2025-05-10T11:30:00.000Z
11,180,Internet bill payment,Bills & Utilities,2025-05-11T13:45:00.000Z
12,90,Yoga class subscription,Health,2025-05-12T08:30:00.000Z
13,50,Groceries for the week,Shopping,2025-05-13T10:00:00.000Z
14,120,Concert tickets,Entertainment,2025-05-14T19:00:00.000Z
15,70,E-learning platform subscription,Education,2025-05-14T19:00:00.000Z
16,55,Manicure and pedicure,Personal Care,2025-05-14T19:00:00.000Z
17,200,Lunch at a business meeting,Food & Dining,2025-05-14T19:00:00.000Z
18,100,Bike repair,Transportation,2025-05-14T19:00:00.000Z
19,300,Water bill payment,Bills & Utilities,2025-05-14T19:00:00.000Z
20,110,Doctor's consultation,Health,2025-05-14T19:00:00.000Z
